date,open,high,low,close
2022-03-15,1.0945,1.1018,1.0939,1.0943
2022-03-16,1.0967,1.1039,1.0956,1.0969
2022-03-17,1.1022,1.111,1.1021,1.1022
2022-03-18,1.1099,1.1118,1.1005,1.11
2022-03-21,1.1042,1.1067,1.1026,1.1043
2022-03-22,1.1016,1.1046,1.0962,1.1017
2022-03-23,1.103,1.1042,1.0966,1.103
2022-03-24,1.1006,1.1013,1.097,1.1006
2022-03-25,1.1009,1.1039,1.0983,1.101
2022-03-27,1.0982,1.0997,1.0945,1.0982
2022-03-28,1.0994,1.1136,1.097,1.0994
2022-03-29,1.1092,1.117,1.1089,1.1092
2022-03-30,1.1162,1.1183,1.1074,1.1162
2022-03-31,1.1072,1.1075,1.103,1.1072
2022-04-03,1.1047,1.1057,1.0981,1.1047
2022-04-04,1.0976,1.0991,1.0921,1.0976
2022-04-05,1.0906,1.0937,1.0876,1.0906
2022-04-06,1.0898,1.0935,1.0867,1.0898
2022-04-07,1.0865,1.0892,1.0837,1.0865
2022-04-10,1.0885,1.0933,1.0875,1.0885
2022-04-11,1.0878,1.0904,1.0852,1.0878
2022-04-12,1.0826,1.0874,1.081,1.0826
2022-04-13,1.0897,1.0923,1.0759,1.0897
2022-04-14,1.0821,1.0823,1.0799,1.0821
2022-04-17,1.0815,1.0816,1.0784,1.0815
2022-04-18,1.0782,1.0812,1.0762,1.0782
2022-04-19,1.0794,1.0867,1.0785,1.0794
2022-04-20,1.085,1.0935,1.0824,1.085
2022-04-21,1.0835,1.0854,1.0773,1.0835
2022-04-24,1.0811,1.0812,1.07,1.0811
2022-04-25,1.0714,1.0739,1.0645,1.0714
2022-04-26,1.0644,1.0656,1.0517,1.0644
2022-04-27,1.0555,1.0562,1.0473,1.0555
2022-04-28,1.0504,1.059,1.0505,1.0504
2022-05-01,1.0536,1.0568,1.0504,1.0536
2022-05-02,1.0509,1.0578,1.0494,1.0509
2022-05-03,1.0529,1.0566,1.0507,1.0529
2022-05-04,1.0622,1.064,1.0505,1.0622
2022-05-05,1.054,1.0598,1.0485,1.054
2022-05-08,1.0532,1.0572,1.0497,1.0532
2022-05-09,1.0566,1.0586,1.0527,1.0566
2022-05-10,1.0533,1.0576,1.0507,1.0533
2022-05-11,1.0512,1.053,1.0374,1.0512
